FID,x,y,adr_pelny,ogolem
11441,19.91730412,50.02165036,PODHALAŃSKA 16,8
11442,19.89801156,50.00131158,BUTRYMÓW 5,8
11443,19.89886935,50.00107446,BABINICZA 6,8
11444,19.9149154,50.05457408,KASZTELAŃSKA 9,8
11445,19.92500603,50.02318801,ZBROJARZY 66,8
11446,19.92855477,50.02158103,TOKARSKA 4,8
11447,19.9295746,50.02103118,TOKARSKA 17,8
11448,19.91546064,50.02235289,PSZCZELNA 45,8
11449,19.9050814,50.01137992,WANDEJSKA 17,8
11450,19.91923857,50.07155381,URZĘDNICZA 48,8
11451,19.92439808,50.0714775,JÓZEFITÓW 2,8
11452,19.90758608,49.99736857,LEONA TOCHOWICZA 9,8
11453,19.91593867,50.02119104,PODHALAŃSKA 24,8
11454,19.93440067,50.02950153,JANA BROŻKA 6,8
11455,19.93196997,50.02324186,KLEMENTYNY HOFFMANOWEJ 23,8
11456,19.92591352,50.0191425,JÓZEFA MONTWIŁŁA-MIRECKIEGO 14,8
11457,19.92634296,50.01798452,CHŁODNA 4,8
11458,19.93183078,50.02441106,KLEMENTYNY HOFFMANOWEJ 7A,8
11459,19.92709322,50.04645402,MIESZCZAŃSKA 12,8
11460,19.93345966,50.02499384,CIESIELSKA 5,8
11461,19.93361097,50.02498143,CIESIELSKA 3,8
11462,19.93311452,50.02502187,CIESIELSKA 9,8
11463,19.907085,50.02042438,KOBIERZYŃSKA 151,8
11464,19.90311748,50.02203102,PRZEMIARKI 20,8
11465,19.90699049,50.0212747,ZALESIE 28,8
11466,19.92503059,50.00980185,MODRA 7,8
11467,19.89921078,50.03158497,TEODORA TALOWSKIEGO 3,8
11468,20.17862284,50.11312282,JÓZEFA SAWY-CALIŃSKIEGO 91,8
11469,19.93131589,50.02302779,DO WILGI 13,8
11470,19.93222166,50.02984248,KAROLA BOGDANOWICZA 3,8
11471,19.93163337,50.02955087,KLEMENSA JUNOSZY SZANIAWSKIEGO 18A,8
11472,19.89603164,50.01174792,ZAMIEJSKA 12,8
11473,19.9161473,50.0574235,BOLESŁAWA PRUSA 28,8
11474,19.93172441,50.02524339,CIESIELSKA 25,8
11475,19.90097111,50.01396231,KOBIERZYŃSKA 183F,8
11476,19.91339855,50.02502135,DERENIOWA 3,8
11477,19.91365426,50.0250947,DERENIOWA 4,8
11478,19.92366747,50.02484532,IRYSOWA 3,8
11479,19.94794629,50.09737239,SIEWNA 56,8
11480,19.95008441,50.09812855,KUŹNICY KOŁŁĄTAJOWSKIEJ 31A,8
11481,19.83770525,50.07361052,ZOFII STRYJEŃSKIEJ 7,8
11482,19.82820081,50.06849596,INSUREKCJI KOŚCIUSZKOWSKIEJ 3,8
11483,19.95427204,50.04252863,POR. ANTONIEGO STAWARZA 5,8
11484,19.96060734,50.09788417,KUŹNICY KOŁŁĄTAJOWSKIEJ 11,8
11485,19.80596188,50.06356669,NA BORACH 3,8
11486,19.80546704,50.0644274,AMAZONEK 5,8
11487,19.85224031,50.0724868,POD STOKIEM 45,8
11488,19.83346791,50.0677909,BOLESŁAWA LEŚMIANA 1,8
11489,19.95629679,50.01943416,STEFANII SEMPOŁOWSKIEJ 36,8
11490,19.83334733,50.06458038,BOLESŁAWA LEŚMIANA 10A,8
11491,19.8302186,50.06651504,POD SZAŃCAMI 1,8
11492,19.96068665,50.04344188,JANA TARNOWSKIEGO 6,8
11493,19.912997,49.99448317,CZESŁAWA BORATYŃSKIEGO 17,8
11494,19.95900671,50.01863974,MONTERSKA 4,8
11495,19.83378892,50.06362639,BOLESŁAWA LEŚMIANA 12,8
11496,19.95542281,50.02007947,SEBASTIANA KLONOWICA 19,8
11497,19.95727029,50.04510325,LWOWSKA 20,8
11498,19.90780283,49.98642027,WŁADYSŁAWA TAKLIŃSKIEGO 32,8
11499,19.91342343,49.99022248,KŁUSZYŃSKA 32,8
11500,19.91154552,49.99015425,KSIĘDZA FRANCISZKA MAJA 14,8
11501,19.93658096,50.02203218,SIOSTRY FAUSTYNY 18,8
11502,19.95124696,50.0436639,RĘKAWKA 7,8
11503,19.91142466,49.98694758,WŁADYSŁAWA TAKLIŃSKIEGO 15A,8
11504,19.85469224,50.08228276,BALICKA 239,8
11505,19.9387301,50.02010341,SIOSTRY FAUSTYNY 52,8
11506,19.96130689,50.04369723,JANA TARNOWSKIEGO 14,8
11507,19.94229853,50.0415119,SMOLKI 12B,8
11508,19.89267924,49.98401883,LEONA PETRAŻYCKIEGO 25,8
11509,19.85281232,50.08231607,BALICKA 218,8
11510,19.93786101,50.04272994,ZATORSKA 15,8
11511,19.84484201,50.08585014,PIOTRA BRZEZIŃSKIEGO 10,8
11512,19.9457216,50.04244549,WŁADYSŁAWA WARNEŃCZYKA 3,8
11513,19.84640735,50.08306124,JAROSŁAWA DOLIŃSKIEGO 5,8
11514,19.84590153,50.08279294,JAROSŁAWA DOLIŃSKIEGO 16,8
11515,19.95364855,50.0423353,POR. ANTONIEGO STAWARZA 1,8
11516,19.87586257,50.06589637,KRÓLOWEJ JADWIGI 219,8
11517,19.91434153,50.02244849,MAGNOLII 5,8
11518,19.88960718,50.00888646,DR. JANA PILTZA 18,8
11519,19.91482995,49.98930107,KŁUSZYŃSKA 18,8
11520,19.90803727,49.98281123,TADEUSZA WAŻEWSKIEGO 26,8
11521,19.83782737,50.06948472,WŁADYSŁAWA RACZKIEWICZA 6,8
11522,19.9565633,50.04648432,JANOWA WOLA 7A,8
11523,19.95375053,50.04740228,SOLNA 4,8
11524,19.95656292,50.04661151,JANOWA WOLA 5,8
11525,19.86305318,50.06909476,KRÓLOWEJ JADWIGI 277A,8
11526,19.87672097,49.97660385,MEDALIONÓW 14,8
11527,19.87946533,49.97624294,MEDALIONÓW 6A,8
11528,19.83034696,50.07538712,JANTAROWA 6,8
11529,19.83203386,50.0741198,GRZEGORZA KORZENIAKA 63,8
11530,19.83293068,50.07101943,GRZEGORZA KORZENIAKA 45,8
11531,19.95792259,50.0454556,ROMUALDA TRAUGUTTA 22,8
11532,19.88857621,49.98337145,LEONA PETRAŻYCKIEGO 54,8
11533,19.83306026,50.0700661,JADWIGI MAJÓWNY 5,8
11534,19.83218131,50.06930599,GRZEGORZA KORZENIAKA 15,8
11535,19.83235776,50.06864397,GRZEGORZA KORZENIAKA 7,8
11536,19.9543961,50.04387179,RĘKAWKA 33,8
11537,19.95772043,50.04413415,BOLESŁAWA LIMANOWSKIEGO 52,8
11538,19.94641341,50.10310445,KORALOWA 4,8
11539,19.87552725,49.97735072,ZOFII NAŁKOWSKIEJ 20,8
11540,19.87419216,49.97509704,ZOFII NAŁKOWSKIEJ 28,8
11541,19.94641304,50.0444648,LEGIONÓW JÓZEFA PIŁSUDSKIEGO 7,8
11542,19.94476033,50.10504903,DRÓŻNICKA 2,8
11543,19.94303185,50.0429354,PLAC EMILA SERKOWSKIEGO 8,8
11544,19.94450473,50.04160262,STROMA 3,8
11545,19.94315837,50.04173263,KALWARYJSKA 40,8
11546,19.94268045,50.04221862,JANA DŁUGOSZA 7,8
11547,19.92234384,50.08268111,POD FORTEM 13,8
11548,19.94071406,50.09009195,JANUSZA KORCZAKA 11,8
11549,19.92820985,50.01987222,JÓZEFA MONTWIŁŁA-MIRECKIEGO 3,8
11550,19.81052181,50.01664615,BOLESŁAWA ŚMIAŁEGO 17,8
11551,19.85653474,50.08576831,GEN. BOLESŁAWA WIENIAWY-DŁUGOSZOWSKIEGO 142A,8
11552,19.84359171,50.08138559,DOBIESŁAWA KUROZWĘCKIEGO 35,8
11553,19.84234748,50.08137671,DOBIESŁAWA KUROZWĘCKIEGO 27,8
11554,19.84240044,50.0827754,DOBIESŁAWA KUROZWĘCKIEGO 12,8
11555,19.92340244,50.04951437,ZAGRODY 25A,8
11556,19.82217294,50.0185312,NAD CZERNĄ 15,8
11557,19.82013838,50.01635237,ŚWIĘTOJAŃSKA 18,8
11558,19.80914338,50.01506744,BOGUCIANKA 9,8
11559,19.80959932,50.01532784,BOGUCIANKA 13,8
11560,19.92778521,50.05083851,RÓŻANA 13,8
11561,19.92642909,50.05170796,RYNEK DĘBNICKI 7,8
11562,19.92641845,50.05181873,RYNEK DĘBNICKI 6,8
11563,19.92900451,50.04881621,EDMUNDA WASILEWSKIEGO 9,8
11564,19.95453203,50.01857147,JASTRZĘBIA 20,8
11565,19.9541002,50.0186103,JASTRZĘBIA 11A,8
11566,19.93053901,50.04906558,JANA KILIŃSKIEGO 11,8
11567,19.92895163,50.05288667,MARII KONOPNICKIEJ 3,8
11568,19.81972246,50.0097266,DANUSI JURANDÓWNY 33,8
11569,19.80887859,50.01540132,BOGUCIANKA 4,8
11570,19.80694475,50.01712087,BENEDYKTYŃSKA 23,8
11571,19.93055553,50.05019259,BARSKA 30,8
11572,19.93007907,50.05266662,ZAMKOWA 9,8
11573,19.92791552,50.04864903,KONFEDERACKA 19A,8
11574,19.92024128,50.05583364,FILARECKA 6,8
11575,19.93869403,50.08720517,PRĄDNICKA 73,8
11576,19.93929224,50.08860557,ZDROWA 3,8
11577,19.9147075,50.05690427,LEONA WYCZÓŁKOWSKIEGO 10,8
11578,19.91657064,50.05719066,BOLESŁAWA PRUSA 35,8
11579,19.82964609,49.99772645,WIELOGÓRSKA 48,8
11580,19.8527032,49.99650197,PODGÓRKI TYNIECKIE 1,8
11581,19.93982287,50.0898072,BIAŁA 16,8
11582,19.94276844,50.08852448,ZDROWA 22C,8
11583,19.94260065,50.08854913,ZDROWA 22A,8
11584,19.94348609,50.08876291,ZDROWA 28A,8
11585,19.92054431,50.05291547,TADEUSZA KOŚCIUSZKI 56,8
11586,19.92287213,50.0482147,OBROŃCÓW POCZTY GDAŃSKIEJ 1,8
11587,19.9239342,50.04857144,ROLNA 5,8
11588,19.92286717,50.05383061,TADEUSZA KOŚCIUSZKI 35,8
11589,19.8117269,50.00828547,GRODZISKO 13A,8
11590,19.93949681,50.08391543,KS. KAZIMIERZA SIEMASZKI 20A,8
11591,19.92124658,50.04933198,BIAŁA DROGA 7,8
11592,19.91946903,50.04891421,JAWOROWA 4,8
11593,19.9423434,50.10605171,OSIEDLE WITKOWICE NOWE 6,8
11594,19.94303624,50.10533862,OSIEDLE WITKOWICE NOWE 2,8
11595,19.94422298,50.10473325,DOŻYNKOWA 37A,8
11596,19.92091129,50.05083321,TYNIECKA 12,8
11597,19.94710584,50.09961983,SIEWNA 25,8
11598,19.92868188,50.05196453,POWROŹNICZA 6,8
11599,19.92729341,50.09769689,PIASZCZYSTA 4,8
11600,19.92131434,50.04910804,BIAŁA DROGA 8,8
11601,19.95366072,50.0451859,BOLESŁAWA LIMANOWSKIEGO 17,8
11602,19.95401553,50.04589567,TARGOWA 3,8
11603,19.94335093,50.1062884,DOŻYNKOWA 62,8
11604,19.9441894,50.04218155,KALWARYJSKA 27,8
11605,19.94453083,50.04260259,KALWARYJSKA 28,8
11606,19.94381634,50.042256,KALWARYJSKA 34,8
11607,19.91549022,50.08750495,RYSZARDA BERWIŃSKIEGO 9,8
11608,19.9157727,50.08743953,RYSZARDA BERWIŃSKIEGO 7,8
11609,19.87717088,49.98693949,CHLEBICZNA 25,8
11610,19.96227347,50.01604838,FRANCISZKA KARPIŃSKIEGO 11,8
11611,19.88164876,50.10436557,OJCOWSKA 133,8
11612,19.96483276,50.01318156,KORDIANA 6,8
11613,19.96441064,50.01284247,KORDIANA 12,8
11614,19.88386891,49.97918171,ŻYZNA 11B,8
11615,19.85424985,49.98961042,EDWARDA WARCHAŁOWSKIEGO 36,8
11616,19.86479825,49.98972941,MIECZYSŁAWA WRONY 86A,8
11617,19.96281093,49.99740441,MIAROWA 25,8
11618,19.88195499,50.09260556,OJCOWSKA 7,8
11619,19.88227477,50.09447848,OJCOWSKA 27,8
11620,19.85819132,49.99390167,MIECZYSŁAWA WRONY 32,8
11621,19.95403247,49.99839885,SOBONIOWICKA 21,8
11622,19.88654307,50.09446409,SOSNOWIECKA 23,8
11623,19.88766271,50.09583233,STAWOWA 163,8
11624,19.96190959,50.01623673,FRANCISZKA KARPIŃSKIEGO 10,8
11625,19.96309801,50.01788329,ŁUŻYCKA 1,8
11626,19.88350976,50.09744102,OJCOWSKA 88,8
11627,19.8703257,50.09958809,ZABORSKA 11,8
11628,19.90913032,50.101491,WŁADYSŁAWA ŁOKIETKA 192,8
11629,19.966937,50.00800238,TUCHOWSKA 21,8
11630,19.85167054,49.99222391,BERNARDA WAPOWSKIEGO 24,8
11631,19.95246563,49.99804304,WYRWA 13,8
11632,19.89774007,50.09562909,PIASKOWA 4,8
11633,19.90294617,50.10764145,WŁADYSŁAWA ŁOKIETKA 276,8
11634,19.90113332,50.10836173,SKOTNICA 1,8
11635,19.86688903,49.98860293,MIECZYSŁAWA WRONY 100,8
11636,19.94586,49.99157072,MYŚLENICKA 153D,8
11637,19.94595531,49.99260818,MYŚLENICKA 149,8
11638,19.8991945,50.11424778,LNIANA 15,8
11639,19.90669595,50.0916171,GEN. JÓZEFA OLSZYNY-WILCZYŃSKIEGO 27,8
11640,19.94379959,50.00335767,MYŚLENICKA 50,8
11641,19.95706638,50.0040235,CECHOWA 49A,8
11642,19.95427966,50.00314868,CECHOWA 33A,8
11643,19.93697095,49.99653577,BOROWINOWA 28,8
11644,19.9025064,50.09627931,PIASKOWA 12,8
11645,19.86434414,49.99100183,MIECZYSŁAWA WRONY 89,8
11646,19.86472046,49.99137097,MIECZYSŁAWA WRONY 95,8
11647,19.92947224,50.00528057,ANTONIEGO SZYLLINGA 18,8
11648,19.89591788,50.11341895,GAIK 12,8
11649,19.95798358,50.01725144,DOBCZYCKA 7,8
11650,19.92113966,49.99280132,JERZEGO SMOLEŃSKIEGO 27,8
11651,19.94172678,50.02508689,ALEKSANDRA FREDRY 23,8
11652,19.88291814,50.09582978,OJCOWSKA 72,8
11653,19.93946127,49.99116871,LUSIŃSKA 9,8
11654,19.953075,50.01912572,JASTRZĘBIA 3,8
11655,19.88368718,50.09333034,OJCOWSKA 34A,8
11656,19.8706232,50.09877762,PASTERNIK 114B,8
11657,19.87358281,50.09921492,NA POLACH 114,8
11658,19.88470005,50.09978395,SZAROTKI 1,8
11659,19.88444922,50.10125641,OJCOWSKA 126,8
11660,19.88274996,50.10157413,BUDRYSÓW 29,8
11661,19.87994762,50.10595874,OJCOWSKA 159,8
11662,19.88083385,50.106012,OJCOWSKA 176,8
11663,19.91052547,50.05500652,KRÓLOWEJ JADWIGI 33A,8
11664,19.93990159,49.9951055,TYTUSA CHAŁUBIŃSKIEGO 11A,8
11665,19.94879995,49.99544359,JÓZEFA MOROZEWICZA 10,8
11666,19.94919131,49.99473,JÓZEFA MOROZEWICZA 8,8
11667,19.89740688,50.08471497,ELIASZA RADZIKOWSKIEGO 61E,8
11668,20.02909351,50.09037629,FATIMSKA 160C,8
11669,20.0771729,50.10400492,LUBORZYCKA 23,8
11670,19.92873545,50.0073507,JUGOWICKA 17,8
11671,19.92813982,50.00656414,SIARCZANA 10,8
11672,19.92637839,50.00633548,"ARMII ""KRAKÓW"" 7",8
11673,19.96291263,49.98904932,DROGA ROKADOWA 1,8
11674,19.92268412,50.00248809,ZAKOPIAŃSKA 134,8
11675,19.92950364,50.003009,JÓZEFA KUSTRONIA 64,8
11676,19.91684268,50.09151469,BLISKA 2,8
11677,19.92493948,50.09583901,ADAMA VETULANIEGO 16,8
11678,19.92636314,50.00089133,HUBALCZYKÓW 5,8
11679,19.94618714,50.09187696,SYRENY 5,8
11680,19.91867353,49.98370125,OPATKOWICKA 60A,8
11681,19.92172589,49.98415484,JERZEGO SMOLEŃSKIEGO 121,8
11682,19.91669578,49.98733284,PORONIŃSKA 17,8
11683,19.91953077,49.9884599,JERZEGO SMOLEŃSKIEGO 14,8
11684,19.91955152,49.98753264,JERZEGO SMOLEŃSKIEGO 30,8
11685,19.93561148,50.02245165,SIOSTRY FAUSTYNY 10A,8
11686,19.92803704,50.00725694,JUGOWICKA 13A,8
11687,19.92957132,49.98869964,KAZIMIERZA MOSZYŃSKIEGO 52B,8
11688,19.93014981,49.98918835,KAZIMIERZA MOSZYŃSKIEGO 48,8
11689,19.88942731,50.11065162,GAIK 62,8
11690,19.94116129,49.98860492,TYTUSA CHAŁUBIŃSKIEGO 90A,8
11691,19.93978733,50.02035184,POCZTOWA 13,8
11692,19.94028367,50.01930264,SIOSTRY FAUSTYNY 17,8
11693,19.90769753,50.00391405,JULII NENKO 7,8
11694,19.87540246,50.04775998,ADOLFA SZYSZKO-BOHUSZA 8,8
11695,19.87034748,50.06223239,28 LIPCA 1943 23A,8
11696,19.90744495,50.00371755,JULII NENKO 22,8
11697,19.96351555,50.04519846,JANA DEKERTA 2A,8
11698,19.8231256,50.04236151,SĘPIA 56,8
11699,19.9195438,50.00723494,ZAWIŁA 16,8
11700,20.04517528,50.01552722,LEOPOLDA FLANKA 1,8
11701,19.91401143,49.99772531,JÓZEFA BELLERTA 11A,8
11702,19.9604335,49.97247393,ZBYDNIOWICKA 8,8
11703,19.95863845,49.97270152,MATEMATYKÓW KRAKOWSKICH 101,8
11704,19.9581269,49.97118759,ZBYDNIOWICKA 35,8
11705,19.97639311,50.03647114,GROMADZKA 93,8
11706,19.97611723,50.0424396,JANA HEWELIUSZA 4,8
11707,19.93909397,50.0636934,ŚW. JANA 9,8
11708,19.94667189,50.05335556,MIODOWA 32,8
11709,19.8229481,50.04150403,SOKOLA 36,8
11710,19.97697404,50.04223288,SARMACKA 24,8
11711,19.82351457,50.04312041,DWORNA 9,8
11712,19.98311815,49.99449827,ORSZAŃSKA 42A,8
11713,19.87389675,50.01584241,BATALIONÓW CHŁOPSKICH 5,8
11714,19.97730044,50.04141214,GROMADZKA 41,8
11715,20.0618304,50.04427681,HENRYKA CZECZOTTA 20,8
11716,20.06670545,50.04747714,FELIKSA WROBELA 101A,8
11717,19.99734474,49.99214685,ROMANA ŻELAZOWSKIEGO 46,8
11718,19.82214748,50.01371995,SKOŁCZANKA 18A,8
11719,19.98434889,50.04653859,KOSZYKARSKA 11,8
11720,20.0649777,50.04542069,FELIKSA WROBELA 87A,8
11721,20.06631725,50.04523364,FELIKSA WROBELA 81A,8
11722,20.05374164,50.04262654,RĄCZNA 31,8
11723,20.05309226,50.04249749,RĄCZNA 40,8
11724,20.00731901,50.02455376,PODMIŁÓW 11A,8
11725,19.91906618,50.00346148,BLUSZCZOWA 25C,8
11726,19.99987437,50.02161681,KS. PIOTRA ŚCIEGIENNEGO 17,8
11727,19.98635261,50.04988238,KOSZYKARSKA 24C,8
11728,19.92003846,50.00614722,KSIĘŻYCOWA 30,8
11729,19.91222382,50.00386214,SKRZETUSKIEGO 6,8
11730,19.95924235,50.03973454,KOPIEC KRAKUSA 1,8
11731,19.96074438,50.0397299,ALEJA POD KOPCEM 16,8
11732,19.96050052,50.0398084,ALEJA POD KOPCEM 20,8
11733,19.91038183,50.00601676,JANA JANOWSKIEGO 40A,8
11734,19.96220416,50.03928641,ALEJA POD KOPCEM 11,8
11735,19.87232207,50.06128722,STAROWOLSKA 2A,8
11736,19.90305408,50.07712547,BRONOWICKA 23,8
11737,19.91636846,50.00602755,JANA JANOWSKIEGO 12,8
11738,19.92060594,50.00433357,KSIĘŻYCOWA 16,8
11739,19.90918089,50.00618602,JANA JANOWSKIEGO 54,8
11740,19.97441276,50.00809055,ŁUŻYCKA 113,8
11741,19.88252924,50.01787175,BRATERSTWA BRONI 17,8
11742,19.96094632,50.01953098,TRYBUNY LUDÓW 5,8
11743,19.97495509,50.02040966,LUBUSKA 1,8
11744,19.96039084,49.97799472,IGNACEGO CHRZANOWSKIEGO 33A,8
11745,19.98061381,50.0125462,SADKA 5,8
11746,19.97978575,50.01324969,SPORNA 12,8
11747,19.88603828,50.01816098,BRATERSTWA BRONI 2,8
11748,19.87795954,50.01596305,MOCHNANIEC 35,8
11749,19.97551809,50.01924972,LUBUSKA 11,8
11750,19.96940789,50.01653867,WOLNOŚCI 48,8
11751,19.94109319,49.97589758,GOŚCINNA 17,8
11752,19.96941904,50.00925591,GWARNA 11,8
11753,19.97364595,50.00844115,ŁUŻYCKA 105,8
11754,19.96613813,50.01773739,ESTOŃSKA 19,8
11755,19.96630821,50.01770253,TRAWNIKI 1,8
11756,19.96280269,49.97425914,STANISŁAWA GOŁĄBA 25,8
11757,19.95817202,49.97314066,MATEMATYKÓW KRAKOWSKICH 116,8
11758,19.95901967,49.97331295,MATEMATYKÓW KRAKOWSKICH 110,8
11759,19.87646445,50.0080818,KRZYSZTOFA KAMILA BACZYŃSKIEGO 14B,8
11760,19.96284351,49.98854073,JERZEGO KURYŁOWICZA 1,8
11761,19.97206824,49.98822807,NAD FOSĄ 18,8
11762,19.88353408,50.09872164,OJCOWSKA 100,8
11763,19.88072151,50.01664951,MOCHNANIEC 26,8
11764,19.97603476,49.98569754,JERZEGO KURYŁOWICZA 44,8
11765,19.96241227,49.98531631,LWA LANDAUA 19,8
11766,19.97024428,50.00634634,WIDNOKRĄG 8,8
11767,19.97089654,50.00663373,CECHOWA 92A,8
11768,19.88029261,50.01973326,OBROŃCÓW HELU 32,8
11769,19.87563707,50.00941423,SKOTNICKA 135A,8
11770,20.0458556,50.04399026,PÓŁŁANKI 104A,8
11771,19.94271965,49.98890338,FRANCISZKA HYPTY 6,8
11772,19.93666524,50.02304066,SIOSTRY FAUSTYNY 10G,8
11773,19.87568474,50.014478,SKOTNICKA 112,8
11774,19.87250265,50.00370959,KRZYSZTOFA KAMILA BACZYŃSKIEGO 58,8
11775,19.95646579,49.98862232,JÓZEFA I FLORIANA SAWICZEWSKICH 32,8
11776,19.96635144,50.0258077,SZCZĘŚLIWA 12,8
11777,19.93978676,49.98427256,TYTUSA CHAŁUBIŃSKIEGO 79,8
11778,19.9438545,49.98533367,MYŚLENICKA 211,8
11779,19.87294534,50.00813264,SKOTNICKA 176A,8
11780,19.9685196,50.02381507,MALBORSKA 66,8
11781,19.94705807,49.98377232,MIRTOWA 8A,8
11782,20.04542865,50.04541583,SZPARAGOWA 8B,8
11783,20.04584662,50.04530219,SZPARAGOWA 8D,8
11784,19.96630992,50.02677293,SZCZĘŚLIWA 1A,8
11785,19.8876052,50.01752386,CZERWONE MAKI 69,8
11786,20.04953296,50.04217946,RĄCZNA 16B,8
11787,20.05275469,50.0419475,KSIĘDZA KAROLA TARGOSZA 3,8
11788,19.86901159,50.01566906,BATALIONÓW CHŁOPSKICH 20,8
11789,19.94755818,49.98836233,IWONICKA 5,8
11790,19.87561157,50.01263595,SKOTNICKA 130,8
11791,19.96572306,50.02529879,SKOWRONIA 24,8
11792,19.9645352,49.97677438,STANISŁAWA GOŁĄBA 4A,8
11793,19.93848915,49.98139471,SZYMONA SYREŃSKIEGO 22,8
11794,19.86660538,50.01630969,BATALIONÓW CHŁOPSKICH 32B,8
11795,19.96354065,50.02385945,POPRZECZNA 15,8
11796,19.94075905,49.98010973,SZYMONA SYREŃSKIEGO 13,8
11797,19.86137814,50.00625041,KOZIENICKA 57,8
11798,19.86451709,50.00591702,JANA CHRYZOSTOMA PASKA 4,8
11799,19.8618167,50.00486307,KS. JAKUBA WUJKA 21,8
11800,19.86313996,50.00510096,KS. JAKUBA WUJKA 11,8
11801,19.95406008,49.9796594,HENRYKA NIEWODNICZAŃSKIEGO 110,8
11802,19.96700682,50.0090444,KANARKOWA 4A,8
11803,19.87409364,50.01833052,WINNICKA 7,8
11804,19.87575091,50.01593329,SKOTNICKA 90,8
11805,19.87006959,50.01583717,BATALIONÓW CHŁOPSKICH 14,8
11806,19.94168035,49.9787381,MAKSYMILIANA NOWICKIEGO 17A,8
11807,19.97151369,50.00906098,KIJANKI 30A,8
11808,19.94312687,50.06269804,ŚW. MARKA 33,8
11809,20.0188768,50.0209702,BIEŻANOWSKA 205,8
11810,20.01289971,50.02183257,BIEŻANOWSKA 161A,8
11811,19.9412435,50.06150354,MIKOŁAJSKA 10,8
11812,19.99097375,50.03851629,ŁANOWA 29,8
11813,19.99464722,50.03917549,ŁANOWA 58,8
11814,19.99409011,50.03919687,ŁANOWA 54,8
11815,20.02116413,50.02116561,DZIAŁKOWA 1,8
11816,20.01958614,50.02153122,DZIAŁKOWA 13,8
11817,20.01835797,50.02214879,DZIAŁKOWA 18,8
11818,20.02580654,50.0093076,LUDWIKA BIERKOWSKIEGO 6,8
11819,19.98851347,50.03929653,SEWERYNA GOSZCZYŃSKIEGO 22,8
11820,20.02684238,50.0181292,BIEŻANOWSKA 228,8
11821,19.93998254,50.06070895,SIENNA 7,8
11822,19.93950146,50.06054816,STOLARSKA 6,8
11823,20.03027581,50.00902826,JANA SZASTERA 12,8
11824,19.99101629,50.04354345,SZCZECIŃSKA 12,8
11825,19.94450996,50.06118951,MIKOŁAJA KOPERNIKA 2,8
11826,19.94704882,50.06278293,RADZIWIŁŁOWSKA 15,8
11827,20.04565413,50.00165676,BOGUCICKA 86,8
11828,20.05142599,50.00512614,LETNIA 23,8
11829,20.04118693,50.00774578,POD POMNIKIEM 14,8
11830,19.9693832,50.00861907,UKOŚNA 4,8
11831,20.04065459,50.00387537,POD POMNIKIEM 51,8
11832,19.94440252,50.05757785,STAROWIŚLNA 16,8
11833,19.9447806,50.0571983,STAROWIŚLNA 22,8
11834,20.03980034,50.00262695,FRYDERYKA ZOLLA 36,8
11835,19.98825737,50.03645453,KACZA 26,8
11836,20.03902729,50.02035406,PÓŁŁANKI 6,8
11837,20.04730824,50.01475456,BRUNONA SCHULZA 9A,8
11838,20.04406658,50.01555802,LUDWIKA JĘDRZEJCZYKA 28,8
11839,19.92409486,50.01999337,ŚWIATOWIDA 24,8
11840,19.99470844,50.03675223,MOTYLA 19,8
11841,19.88064059,50.06555612,CZEREMCHOWA 5,8
11842,20.0477849,50.01365092,KSAWEREGO PRUSZYŃSKIEGO 3,8
11843,20.04708835,50.01164254,ZAROSIE 14,8
11844,20.04775792,50.01173244,ZAROSIE 10,8
11845,20.02430624,50.04650452,GOLIKÓWKA 83,8
11846,20.02921229,50.04430239,STRAŻACKA 57,8
11847,20.03540021,50.01870658,BIEŻANOWSKA 317,8
11848,19.93016915,49.99302861,KAZIMIERZA MOSZYŃSKIEGO 24A,8
11849,20.04635426,50.00837248,STEFANA STOLARZA 13,8
11850,20.04764105,50.00930714,HENRYKA HOYERA 40,8
11851,20.02359807,50.04352807,KAWOWA 6,8
11852,20.02821754,50.04167562,RYBITWY 33,8
11853,20.02614649,50.0185915,BIEŻANOWSKA 263,8
11854,20.04396137,50.01700802,WOJCIECHA Z BRUDZEWA 7,8
11855,19.94097576,50.06448346,FLORIAŃSKA 40,8
11856,19.93900822,50.06386903,ŚW. JANA 20,8
11857,20.00622316,50.04168024,GOLIKÓWKA 25,8
11858,19.99497593,50.04695432,LASÓWKA 12,8
11859,20.05240541,50.01604743,HENRYKA SUCHARSKIEGO 95A,8
11860,20.05212397,50.01256522,POTRZASK 51,8
11861,19.95440296,50.06726875,ARIAŃSKA 18,8
11862,19.9540056,50.06661836,TOPOLOWA 23,8
11863,20.06758643,50.01153981,CZARNOCHOWICKA 137,8
11864,19.93621553,50.06933851,KROWODERSKA 24,8
11865,19.96069515,50.07345179,GROCHOWSKA 9,8
11866,19.96056522,50.0737436,GROCHOWSKA 10,8
11867,19.9594702,50.07427097,BOLESŁAWA CHROBREGO 2A,8
11868,19.96030216,50.07408944,CYPRIANA KAMILA NORWIDA 3,8
11869,19.95694436,50.06688444,ALEKSANDRA LUBOMIRSKIEGO 51,8
11870,19.95449994,50.06623576,ARIAŃSKA 7,8
11871,19.95560491,50.06635862,TOPOLOWA 33,8
11872,19.95584061,50.0663194,TOPOLOWA 35,8
11873,19.94225908,50.05077195,KRAKOWSKA 7,8
11874,19.94149238,50.05127419,JÓZEFA DIETLA 39,8
11875,19.9432016,50.04931555,KRAKOWSKA 34,8
